Sample Number (60 samples per second),Pv (l/m),duty (l/m),loopTime (ms)
830,0.32,255.0,90.0
831,0.32,255.0,90.0
832,0.32,255.0,90.0
833,0.32,255.0,90.0
834,0.32,255.0,100.0
835,0.32,255.0,90.0
836,0.32,255.0,90.0
837,0.32,255.0,90.0
838,0.32,255.0,90.0
839,0.32,255.0,83.0
840,0.32,255.0,90.0
841,0.32,255.0,100.0
842,0.31,255.0,90.0
843,0.31,255.0,90.0
844,0.31,255.0,100.0
845,0.31,255.0,90.0
846,0.31,255.0,83.0
847,0.31,255.0,90.0
848,0.31,255.0,90.0
849,0.31,255.0,90.0
850,0.31,255.0,90.0
851,0.31,255.0,100.0
852,0.31,255.0,90.0
853,0.31,255.0,90.0
854,0.31,255.0,90.0
855,0.3,255.0,90.0
856,0.3,255.0,90.0
857,0.3,255.0,83.0
858,0.3,255.0,100.0
859,0.3,255.0,90.0
860,0.3,255.0,90.0
861,0.3,255.0,90.0
862,0.3,255.0,90.0
863,0.3,255.0,90.0
864,0.3,255.0,83.0
865,0.3,255.0,100.0
866,0.3,255.0,83.0
867,0.3,255.0,90.0
868,0.3,255.0,90.0
869,0.29,255.0,100.0
870,0.29,255.0,90.0
871,0.29,255.0,83.0
872,0.29,255.0,100.0
873,0.29,255.0,83.0
874,0.29,255.0,90.0
875,0.29,255.0,83.0
876,0.29,255.0,100.0
877,0.29,255.0,90.0
878,0.29,255.0,90.0
879,0.29,255.0,100.0
880,0.29,255.0,90.0
881,0.29,255.0,90.0
882,0.29,255.0,83.0
883,0.28,255.0,100.0
884,0.28,255.0,83.0
885,0.28,255.0,90.0
886,0.31,255.0,100.0
887,0.31,255.0,90.0
888,0.31,255.0,90.0
889,0.31,255.0,83.0
890,0.31,255.0,100.0
891,0.31,255.0,83.0
892,0.31,255.0,90.0
893,0.31,255.0,90.0
894,0.31,255.0,90.0
895,0.31,255.0,90.0
896,0.31,255.0,90.0
897,0.31,255.0,100.0
898,0.31,255.0,83.0
899,0.31,255.0,90.0
900,0.34,255.0,90.0
901,0.34,255.0,90.0
902,0.33,255.0,83.0
903,0.33,255.0,90.0
904,0.33,255.0,100.0
905,0.33,255.0,90.0
906,0.36,255.0,90.0
907,0.36,255.0,90.0
908,0.36,255.0,90.0
909,0.36,255.0,83.0
910,0.36,255.0,90.0
911,0.36,255.0,100.0
912,0.39,255.0,90.0
913,0.39,255.0,90.0
914,0.38,255.0,90.0
915,0.38,255.0,90.0
916,0.42,255.0,83.0
917,0.41,255.0,90.0
918,0.41,255.0,90.0
919,0.41,255.0,90.0
920,0.45,255.0,90.0
921,0.44,255.0,90.0
922,0.44,255.0,100.0
923,0.44,255.0,90.0
924,0.44,255.0,90.0
925,0.47,255.0,90.0
926,0.47,255.0,90.0
927,0.47,255.0,83.0
928,0.47,255.0,90.0
929,0.47,255.0,100.0
930,0.5,255.0,90.0
931,0.5,255.0,90.0
932,0.5,255.0,100.0
933,0.5,255.0,90.0
934,0.53,255.0,83.0
935,0.53,255.0,90.0
